address,lat,lon
"5227 Mission Oaks Blvd, Camarillo, CA 93012",34.2277901,-118.9992889
"364 S California St, Ventura, CA 93001",34.2761882,-119.2930501
"66 S California St, Ventura, CA 93001",34.2799783,-119.2928152
"5795 Walker St, Ventura, CA 93003",34.2537496,-119.2110036
"574 E Main St, Ventura, CA 93001",34.2806944,-119.2920276
"4726 Telephone Rd, Ventura, CA 93003",34.2598767,-119.2341585
"593 E Main St, Ventura, CA 93001",34.2809924,-119.2917269
,44.933143,7.540121
"1105 S Seaward Ave, Ventura, CA 93001",34.2637625,-119.2733475
"2055 E Main St, Ventura, CA 93001",34.2779984,-119.2696291
"1497 E Thompson Blvd, Ventura, CA 93001",34.276111,-119.2787092
"806 E Thompson Blvd, Ventura, CA 93001",34.2782031,-119.2882673
"668 Harbor Blvd, Ventura, CA 93001",34.275712,-119.290607
"3449 E Main St, Ventura, CA 93003",34.2657454,-119.2466525
"1449 Spinnaker Dr, Ventura, CA 93001",34.2404964,-119.263305
"35 W Main St, Ventura, CA 93001",34.2821656,-119.3009345
"550 San Jon Rd, Ventura, CA 93001",,
"1867 Spinnaker Dr, Ventura, CA 93001",34.2478065,-119.2663591
"387 E Main St, Ventura, CA 93001",34.2810448,-119.2949722
"419 E Main St  #A, Ventura, CA 93001",34.2809699,-119.2944472
"701 E Main St, Ventura, CA 93001",34.2809936,-119.2898201
"2417 Harbor Blvd, Ventura, CA 93001",34.2634001,-119.2706053
"1559 Spinnaker Dr Ste 200, Ventura, CA 93001",,
"2009 E Main St, Ventura, CA 93001",34.2780773,-119.2699544
"186 E Thompson Blvd, Ventura, CA 93001",34.2780757,-119.297983
"298 E Main St, Ventura, CA 93001",34.2806602,-119.2963319
"472 E Main St, Ventura, CA 93001",34.280691,-119.2936313
"4718 Telephone Rd, Ventura, CA 93003",34.2631342,-119.2273108
"4020 E Main St, Ventura, CA 93003",34.2625049,-119.2382426
"3429 Telegraph Rd, Ventura, CA 93003",34.2730808,-119.2492782
"6602 Old Pacific Coast Hwy, Ventura, CA 93001",34.3558178,-119.4401764
"1510 Anchors Way Dr, Ventura, CA 93001",34.2504997,-119.265109
"1795 S Victoria Ave Ste 101A, Ventura, CA 93003",,
"456 E Main St, Ventura, CA 93001",34.2806904,-119.2937857
"2026 E Main St, Ventura, CA 93001",34.2778688,-119.269802
"1605 Morse Ave Frnt, Ventura, CA 93003",,
"4732 Telephone Rd Ste 5B, Ventura, CA 93003",,
"5960 Telegraph Rd, Ventura, CA 93003",34.27687,-119.2133876
"2887 Johnson Dr, Ventura, CA 93003",34.2481455,-119.1959852
"67 W Main St, Ventura, CA 93001",34.28156,-119.301744
"1961 E Thompson Blvd, Ventura, CA 93001",34.2747498,-119.2718339
"1583 Spinnaker Dr Suite 109,, Ventura, CA 93001",,
"543 E Main St, Ventura, CA 93001",34.2809858,-119.292316
"573 E Main St, Ventura, CA 93001",34.28098,-119.292004
"391 E Main St, Ventura, CA 93001",34.2809602,-119.2948513
"1730 S Victoria Ave Ste A, Ventura, CA 93003",,
"2009 E Thompson Blvd, Ventura, CA 93001",34.2745673,-119.2709139
"6353 Ventura Blvd Unit 18, Ventura, CA 93003",,
"362 N Ventura Ave, Ventura, CA 93001",34.2855544,-119.2994204
"256 E Main St, Ventura, CA 93001",34.2806784,-119.2969551
"5100 Telegraph Rd Ste F, Ventura, CA 93003",,
"7822 Telegraph Rd, Ventura, CA 93004",34.2801932,-119.1907256
"1591 Spinnaker Dr Ste 112, Ventura, CA 93001",,
"632 E Main St, Ventura, CA 93001",34.2806069,-119.2910133
"545 E Thompson Blvd, Ventura, CA 93001",34.2785041,-119.2923792
"2855 Johnson Dr, Ventura, CA 93003",34.2488235,-119.1962227
"607 E Main St, Ventura, CA 93001",34.2810362,-119.2912936
"104 E Thompson Blvd, Ventura, CA 93001",34.2780018,-119.2989866
"5722 Telephone Rd, Ventura, CA 93003",34.2650533,-119.2139922
"760 S Seaward Ave, Ventura, CA 93001",34.2657222,-119.2682942
"1771 S Victoria Ave, Ventura, CA 93003",34.2581818,-119.2110201
"394 E Main St Ste B, Ventura, CA 93001",,
"204 E Main St, Ventura, CA 93001",34.2806018,-119.2975398
"2055 Harbor Blvd  Ventura Beach Marriott, Ventura, CA 93001",,
"1583 Spinnaker Dr Ste 101, Ventura, CA 93001",,
"1780 S Victoria Ave, Ventura, CA 93003",34.2581096,-119.2108077
"1050 S Hill Rd, Ventura, CA 93003",34.2675749,-119.2065898
"1145 S Victoria Ave, Ventura, CA 93003",34.2645686,-119.21268
"2673 E Thompson Blvd, Ventura, CA 93003",34.2725302,-119.2606294
"1888 E Thompson Blvd, Ventura, CA 93001",34.2745944,-119.2730711
"1141 S Seaward Ave, Ventura, CA 93001",34.263539,-119.2733217
"2292 E Main St Ste C, Ventura, CA 93001",,
"152 N Ashwood Ave, Ventura, CA 93003",34.2768049,-119.2390247
"4200 N Ventura Ave, Ventura, CA 93001",34.325719,-119.290144
